model,serial_no,image_name,image_type,image_path,image_ext,file_size,file_mtime
EOS_T001-TOP,92,BRDFID_0.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000092\BRDFID_0.jpg,.jpg,1049570,2025-10-20 11:58
EOS_T001-TOP,94,D0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000094\D0_D6.jpg,.jpg,2356,2025-10-20 11:58
EOS_T001-TOP,94,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000094\D2_D6.jpg,.jpg,2306,2025-10-20 11:58
EOS_T001-TOP,94,D3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000094\D3_D6.jpg,.jpg,2492,2025-10-20 11:58
EOS_T001-TOP,95,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000095\D2_D6.jpg,.jpg,2343,2025-10-20 11:59
EOS_T001-TOP,100,D0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000100\D0_D6.jpg,.jpg,2312,2025-10-20 12:01
EOS_T001-TOP,100,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000100\D2_D6.jpg,.jpg,2491,2025-10-20 12:01
EOS_T001-TOP,108,D3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000108\D3_D6.jpg,.jpg,2411,2025-10-20 12:05
EOS_T001-TOP,120,BRDFID_0.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000120\BRDFID_0.jpg,.jpg,1486749,2025-10-20 12:10
EOS_T001-TOP,128,D3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000128\D3_D6.jpg,.jpg,2441,2025-10-20 12:13
EOS_T001-TOP,129,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000129\D2_D6.jpg,.jpg,2384,2025-10-20 12:14
EOS_T001-TOP,130,D3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000130\D3_D6.jpg,.jpg,2610,2025-10-20 12:14
EOS_T001-TOP,131,BRDFID_0.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000131\BRDFID_0.jpg,.jpg,1488310,2025-10-20 12:15
EOS_T001-TOP,135,D1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000135\D1_D6.jpg,.jpg,2394,2025-10-20 12:17
EOS_T001-TOP,140,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000140\D2_D6.jpg,.jpg,2444,2025-10-20 12:19
EOS_T001-TOP,142,D1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000142\D1_D6.jpg,.jpg,2495,2025-10-20 12:20
EOS_T001-TOP,160,D0_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000160\D0_D6.jpg,.jpg,2426,2025-10-20 12:28
EOS_T001-TOP,167,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000167\D2_D6.jpg,.jpg,2536,2025-10-20 12:31
EOS_T001-TOP,174,D1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000174\D1_D6.jpg,.jpg,2534,2025-10-20 12:34
EOS_T001-TOP,186,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000186\D2_D6.jpg,.jpg,2301,2025-10-20 12:39
EOS_T001-TOP,196,D3_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000196\D3_D6.jpg,.jpg,2397,2025-10-20 12:44
EOS_T001-TOP,201,D1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000201\D1_D6.jpg,.jpg,2358,2025-10-20 12:46
EOS_T001-TOP,201,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000201\D2_D6.jpg,.jpg,2304,2025-10-20 12:46
EOS_T001-TOP,206,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000206\D2_D6.jpg,.jpg,2332,2025-10-20 12:48
EOS_T001-TOP,223,D2_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000223\D2_D6.jpg,.jpg,2417,2025-10-20 12:56
EOS_T001-TOP,226,D1_D6.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-TOP\00000226\D1_D6.jpg,.jpg,2436,2025-10-20 12:57
EOS_T001-BOT,1,G0_D1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000001\G0_D1.jpg,.jpg,5197,2025-10-20 15:01
EOS_T001-BOT,1,G0_D2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000001\G0_D2.jpg,.jpg,5110,2025-10-20 15:01
EOS_T001-BOT,3,G2_IC1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\G2_IC1.jpg,.jpg,46904,2025-10-20 15:01
EOS_T001-BOT,1,G0_Q2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000001\G0_Q2.jpg,.jpg,7160,2025-10-20 15:01
EOS_T001-BOT,1,G0_Q3.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000001\G0_Q3.jpg,.jpg,6610,2025-10-20 15:01
EOS_T001-BOT,2,G3_LS1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000002\G3_LS1.jpg,.jpg,69522,2025-10-20 15:01
EOS_T001-BOT,3,G0_IC1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\G0_IC1.jpg,.jpg,49230,2025-10-20 15:01
EOS_T001-BOT,3,G0_Q1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\G0_Q1.jpg,.jpg,6888,2025-10-20 15:01
EOS_T001-BOT,3,G0_Q3.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\G0_Q3.jpg,.jpg,6610,2025-10-20 15:01
EOS_T001-BOT,3,G0_U1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\G0_U1.jpg,.jpg,106303,2025-10-20 15:01
EOS_T001-BOT,3,G1_Q2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\G1_Q2.jpg,.jpg,7118,2025-10-20 15:01
EOS_T001-BOT,3,G2_Q1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\G2_Q1.jpg,.jpg,6590,2025-10-20 15:01
EOS_T001-BOT,4,G0_U1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000004\G0_U1.jpg,.jpg,106303,2025-10-20 15:01
EOS_T001-BOT,1,D0_D1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000001\D0_D1.jpg,.jpg,5292,2025-10-20 15:02
EOS_T001-BOT,1,D0_D2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000001\D0_D2.jpg,.jpg,5097,2025-10-20 15:02
EOS_T001-BOT,1,D0_Q2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000001\D0_Q2.jpg,.jpg,6968,2025-10-20 15:02
EOS_T001-BOT,1,D0_Q3.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000001\D0_Q3.jpg,.jpg,6582,2025-10-20 15:02
EOS_T001-BOT,2,D3_LS1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000002\D3_LS1.jpg,.jpg,71874,2025-10-20 15:07
EOS_T001-BOT,3,D0_IC1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\D0_IC1.jpg,.jpg,46112,2025-10-20 15:08
EOS_T001-BOT,3,D0_Q1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\D0_Q1.jpg,.jpg,6972,2025-10-20 15:08
EOS_T001-BOT,3,D0_Q3.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\D0_Q3.jpg,.jpg,6693,2025-10-20 15:08
EOS_T001-BOT,3,D0_U1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\D0_U1.jpg,.jpg,103731,2025-10-20 15:08
EOS_T001-BOT,3,D1_Q2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\D1_Q2.jpg,.jpg,7198,2025-10-20 15:08
EOS_T001-BOT,3,D2_IC1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\D2_IC1.jpg,.jpg,45838,2025-10-20 15:08
EOS_T001-BOT,3,D2_Q1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000003\D2_Q1.jpg,.jpg,6707,2025-10-20 15:08
EOS_T001-BOT,4,D0_U1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000004\D0_U1.jpg,.jpg,103063,2025-10-20 15:10
EOS_T001-BOT,5,G2_D1.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000005\G2_D1.jpg,.jpg,5763,2025-10-20 15:11
EOS_T001-BOT,11,G3_IC2.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000011\G3_IC2.jpg,.jpg,12141,2025-10-20 15:11
EOS_T001-BOT,22,G2_D4.jpg,roi,C:\Users\PC4\Downloads\TUK_PCA\AOI\defect image\EOS_T001-BOT\00000022\G2_D4.jpg,.jpg,5964,2025-10-20 15:11
