KO,로트명,로트ID,기판데이터 갱신일시,생산시작 시각,셋업종료 시각,생산종료시각,예정수량(장),실적수량(장),실장CT/장 MAX A,실장CT/장 MAX B,실장CT/장 MAX C,실장CT/장 MAX D,실장CT/장 MIN A,실장CT/장 MIN B,실장CT/장 MIN C,실장CT/장 MIN D,실장CT/장 AVE A,실장CT/장 AVE B,실장CT/장 AVE C,실장CT/장 AVE D,반송CT/장 MAX,반송CT/장 MIN,반송CT/장 AVE,대기CT/장 MAX,대기CT/장 MIN,대기CT/장 AVE,마크인식CT/장 MAX A,마크인식CT/장 MAX B,마크인식CT/장 MAX C,마크인식CT/장 MAX D,마크인식CT/장 MIN A,마크인식CT/장 MIN B,마크인식CT/장 MIN C,마크인식CT/장 MIN D,마크인식CT/장 AVE A,마크인식CT/장 AVE B,마크인식CT/장 AVE C,마크인식CT/장 AVE D,흡착에러 횟수,부품 인식에러 횟수,리드들뜸 에러횟수,마크 인식에러 횟수,반송에러횟수,그 밖의 에러횟수,에러정지 시간(초),에러복구 시간(초),배드마크 NG수,탑재완료 블록수,상류측 대기시간(초),하류측 대기시간(초),설비 가동률(%),마운트점수,부품소비수,스테이지,상류대기CT MAX(초),상류대기CT Min(초),상류대기CT Ave(초),하류대기CT Max(초),하류대기CT Min(초),하류대기CT Ave(초),연속생산CT 장 Max,연속생산CT 장 Min,연속생산CT 장 Ave,생산CT 장 Max,생산CT 장 Min,생산CT 장 Ave,작업자 정지시간(초),레인,다른 레인 대기시간(초),반송정지 옵셋량/장 AVE,생산품종,면 정보,생산로트,---,다른 스테이지 대기시간(초),사이클 타임,source_file
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:47:26,0,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,700,2641.72,2738.18,47.2,4,700,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,48.78,2197.63,9.54,50.48,0.0,MCH,0.0,0.0,,,,,0.0,9.379,LotLog_KMJ-EOS_T001-TOP_174_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:47:53,0,176,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.03,0.0,0.0,0.0,39.07,1.27,5.28,2186.3,1.49,30.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,704,2641.72,2754.72,47.3,4,705,A,2186.3,0.0,15.0,20.44,4.12,15.65,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.385,LotLog_KMJ-EOS_T001-TOP_175_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:47:53,0,176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,704,2641.72,2754.72,47.3,4,705,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,48.66,2197.63,9.54,50.35,0.0,MCH,0.0,0.0,,,,,0.0,9.385,LotLog_KMJ-EOS_T001-TOP_175_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:48:20,0,177,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.03,0.0,0.0,0.0,39.07,1.27,5.28,2186.3,1.49,30.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,708,2641.72,2772.73,47.5,4,709,A,2186.3,0.0,14.92,20.44,4.12,15.66,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.382,LotLog_KMJ-EOS_T001-TOP_176_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:48:20,0,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,708,2641.72,2772.73,47.5,4,709,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,48.54,2197.63,9.54,50.21,0.0,MCH,0.0,0.0,,,,,0.0,9.382,LotLog_KMJ-EOS_T001-TOP_176_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:46:05,0,172,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.29,2186.3,1.49,30.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,688,2641.72,2683.55,46.8,4,689,A,2186.3,0.0,15.35,20.44,4.12,15.6,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.387,LotLog_KMJ-EOS_T001-TOP_171_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:48:48,0,178,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.03,0.0,0.0,0.0,39.07,1.27,5.28,2186.3,1.49,30.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,712,2641.72,2791.89,47.6,4,713,A,2186.3,0.0,14.84,20.44,4.12,15.68,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.38,LotLog_KMJ-EOS_T001-TOP_177_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:43:24,0,166,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.3,2186.3,1.49,31.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,664,2641.72,2576.03,45.9,4,665,A,2186.3,0.0,15.91,20.44,4.12,15.51,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.402,LotLog_KMJ-EOS_T001-TOP_165_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:42:57,0,165,5.4,0.0,0.0,0.0,3.42,0.0,0.0,0.0,4.02,0.0,0.0,0.0,39.07,1.27,5.31,2186.3,1.49,31.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,660,2641.72,2558.69,45.8,4,661,A,2186.3,0.0,16.01,20.44,4.12,15.5,0.0,0.0,0.0,0.0,0.0,0.0,3.33,1,0.0,0.0,,,,,0.0,9.405,LotLog_KMJ-EOS_T001-TOP_164_20251020.csv
KO,KMJ-EOS_T001-TOP,,2025/10/20 11:58:33,2025-10-20 11:16:50,2025/10/20 11:20:11,2025/10/20 13:37:33,0,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,612,2641.72,2341.91,44.0,4,613,MCH,0.0,0.0,0.0,0.0,0.0,0.0,2197.63,9.54,51.94,2197.63,9.54,53.86,0.0,MCH,0.0,0.0,,,,,0.0,9.44,LotLog_KMJ-EOS_T001-TOP_152_20251020.csv
