KO,발생시간,기판명,기판 코멘트,에러/작업번호,내용,상세,작업자,생산품종,면 정보,생산로트,source_file
KO,2025-11-14 15:34:18,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251114.csv
KO,2025-11-14 15:34:32,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251114.csv
KO,2025-11-14 15:34:58,SEIL-AIRDEEP_M_BOT_251113,,Ea12388,장비의 전원OFF 완료,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251114.csv
KO,2025-11-17 10:15:40,,,Ea12387,장비의 전원ON 완료,OmAuto Address=bb0e8c00,디폴트 작업자,,,,ErrLog__0_20251117.csv
KO,2025-11-18 11:47:37,SEIL-AIRDEEP_M_BOT_251113,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251118.csv
KO,2025-11-18 11:48:59,SEIL-AIRDEEP_M_BOT_251113,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-AIRDEEP_M_BOT_251113_0_20251118.csv
KO,2025-11-20 11:09:16,SEIL-SMART_CART2,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-SMART_CART2_0_20251120.csv
KO,2025-11-20 11:14:21,SEIL-SMART_CART2,,Ea29874,스캔 카메라 이동불가,,관리자,,,,ErrLog_SEIL-SMART_CART2_0_20251120.csv
KO,2025-11-20 12:10:25,SEIL-SMART_CART2,,O13187,샤프트 청소 블로우 정상 종료,/TableA,관리자,,,,ErrLog_SEIL-SMART_CART2_0_20251120.csv
KO,2025-11-20 12:28:41,SEIL-SMART_CART2,,Ea12894,기판 불명,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-SMART_CART2_0_20251120.csv
KO,2025-11-20 12:28:52,SEIL-SMART_CART2,,Ea13032,탑재전 부품낙하 에러,/TableA/M18/C7/F35/FdrID=SSY-2T6-0079955A/RecVac=132/CurVac=64,관리자,,,,ErrLog_SEIL-SMART_CART2_0_20251120.csv
KO,2025-11-20 12:29:24,SEIL-SMART_CART2,,Ea422,부품 장착 에러,/TableA/M18/H1/C7/F35/FdrID=SSY-2T6-0079955A,관리자,,,,ErrLog_SEIL-SMART_CART2_0_20251120.csv
KO,2025-11-20 12:29:51,SEIL-SMART_CART2,,Ea13339,도중부터 탑재,(버튼)OK,관리자,,,,ErrLog_SEIL-SMART_CART2_0_20251120.csv
KO,2025-11-20 12:29:51,SEIL-SMART_CART2,,Ea12968,도중부터 운전,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-SMART_CART2_0_20251120.csv
KO,2025-11-20 13:22:33,SEIL-SMART_CART2,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-SMART_CART2_2_20251120.csv
KO,2025-11-20 13:59:03,SEIL-KYK30K_MAIN,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 13:59:07,SEIL-KYK30K_MAIN,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 14:08:54,SEIL-KYK30K_MAIN,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 14:18:18,SEIL-KYK30K_MAIN,,Ea29874,스캔 카메라 이동불가,,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 14:57:46,SEIL-KYK30K_MAIN,,Ea31,부품흡착 에러,/TableA/M9/H3/C2/F27/VE150/FdrID=SSY-008-0452615B,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 14:57:46,SEIL-KYK30K_MAIN,,Ea31,부품흡착 에러,/TableA/M10/H5/C5/F25/VE150/FdrID=SSY-008-0452591B,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 14:58:08,SEIL-KYK30K_MAIN,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 15:01:55,SEIL-KYK30K_MAIN,,Ea12894,기판 불명,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 15:02:05,SEIL-KYK30K_MAIN,,Ea31,부품흡착 에러,/TableA/M1/H9/C8/F40/VE150/FdrID=,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 15:02:59,SEIL-KYK30K_MAIN,,Ea12968,도중부터 운전,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 15:02:59,SEIL-KYK30K_MAIN,,Ea13339,도중부터 탑재,(버튼)OK,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 15:03:20,SEIL-KYK30K_MAIN,,Ea31,부품흡착 에러,/TableA/M1/H9/C8/F40/VE150/FdrID=,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 15:04:06,SEIL-KYK30K_MAIN,,Ea12968,도중부터 운전,(버튼)예 /레인1 /실장위치,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 15:04:06,SEIL-KYK30K_MAIN,,Ea13339,도중부터 탑재,(버튼)OK,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_0_20251120.csv
KO,2025-11-20 16:58:39,SEIL-KYK30K_MAIN,,Ea31,부품흡착 에러,/TableA/M20/H5/C2/F27/VE150/FdrID=SSY-008-0452615B,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_6_20251120.csv
KO,2025-11-20 17:08:46,SEIL-KYK30K_MAIN,,Ea31,부품흡착 에러,/TableA/M1/H9/C8/F40/VE150/FdrID=,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_19_20251120.csv
KO,2025-11-20 17:20:42,SEIL-KYK30K_MAIN,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_34_20251120.csv
KO,2025-11-20 17:35:00,SEIL-KYK30K_MAIN,,Ea803,인터록 앞쪽 피더들뜸 센서 1,,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_34_20251120.csv
KO,2025-11-20 17:35:35,SEIL-KYK30K_MAIN,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_34_20251120.csv
KO,2025-11-20 17:38:34,SEIL-KYK30K_MAIN,,Ea814,인터록 앞쪽 피더들뜸 센서 2,,관리자,,,,ErrLog_SEIL-KYK30K_MAIN_34_20251120.csv
